0	Address
1	Москва, Академический, Кржижановского улица, 24/35, к. 3
2	Москва, Академический, Новочерёмушкинская улица, 11, к. 2
3	Москва, Академический, Новочерёмушкинская улица, 21
4	Москва, Академический, Шверника улица, 13, к. 1
5	Москва, Алексеевский, Бориса Галушкина улица, 12
6	Москва, Алексеевский, Мира проспект, 110/2
7	Москва, Алексеевский, Павла Корчагина улица, 11
8	Москва, Алтуфьевский, Инженерная улица, 15, стр. 1
9	Москва, Аэропорт, Черняховского улица, 11, к. 1
10	Москва, Бабушкинский, Енисейская улица, 33, стр. 2
11	Москва, Бабушкинский, Искры улица, 9, стр. А
12	Москва, Бабушкинский, Лётчика Бабушкина улица, 10/1
13	Москва, Бабушкинский, Лётчика Бабушкина улица, 37, к. 1
14	Москва, Бабушкинский, Менжинского улица, 23
15	Москва, Басманный, Бакунинская улица, 26/30, стр. 1
16	Москва, Басманный, Земляной Вал улица, 38-40/15, стр. 9
17	Москва, Басманный, Покровка улица, 17, стр. 1
18	Москва, Басманный, Спартаковская улица, 16, к. 2
19	Москва, Бескудниковский, Дубнинская улица, 1
20	Москва, Бибирево, Алтуфьевское шоссе, 98, к. 1
21	Москва, Бибирево, Лескова улица, 3
22	Москва, Бибирево, Плещеева улица, 12
23	Москва, Бирюлёво Восточное, Лебедянская улица, 34
24	Москва, Богородское, Богатырская 3-я улица, 1, к. 1
25	Москва, Богородское, Бойцовая улица, 22
26	Москва, Богородское, Гражданская 3-я улица, 70
27	Москва, Богородское, Детская улица, 19
28	Москва, Богородское, Краснобогатырская улица, 75, к. 1
29	Москва, Богородское, Маршала Рокоссовского бульвар, 6, к. 1
30	Москва, Братеево, Алма-Атинская улица, 3, к. 1-А
31	Москва, Братеево, Борисовские Пруды улица, 10
32	Москва, Братеево, Паромная улица, 11/31
33	Москва, Бутырский, Руставели улица, 19
34	Москва, Вешняки, Вешняковская улица, 2
35	Москва, Вешняки, Вешняковская улица, 12-Г
36	Москва, Вешняки, Вешняковская улица, 17-А
37	Москва, Вешняки, Вешняковская улица, 29-А
38	Москва, Вешняки, Старый Гай улица, 7-А
39	Москва, Вешняки, Старый Гай улица, 8-Б
40	Москва, Внуково, Рейсовая 1-я улица, 12
41	Москва, Войковский, Новоподмосковный 2-й переулок, 8
42	Москва, Войковский, Радиаторская 3-я улица, 11
43	Москва, Восточное Дегунино, 800-летия Москвы улица, вл. 14, стр. 1
44	Москва, Восточное Измайлово, Верхняя Первомайская улица, 61
45	Москва, Восточное Измайлово, Первомайская улица, 100
46	Москва, Восточное Измайлово, Сиреневый бульвар, 72
47	Москва, Выхино-Жулебино, Генерала Кузнецова улица, 15, к. 1
48	Москва, Выхино-Жулебино, Генерала Кузнецова улица, 16, к. 1
49	Москва, Выхино-Жулебино, Самаркандский бульвар, 8
50	Москва, Выхино-Жулебино, Тарханская улица, 6
51	Москва, Выхино-Жулебино, Ташкентская улица, 25
52	Москва, Выхино-Жулебино, Ташкентская улица, 31
53	Москва, Выхино-Жулебино, Ферганский проезд, 10-А, стр. 3
54	Москва, Выхино-Жулебино, Хлобыстова улица, 19
55	Москва, Выхино-Жулебино, Чугунные Ворота улица, 3, к. 1
56	Москва, Гагаринский, Вавилова улица, 66, стр. 2
57	Москва, Гагаринский, Вернадского проспект, 105, к. 2
58	Москва, Гагаринский, Ленинский проспект, 73/8
59	Москва, Гагаринский, Университетский проспект, 9
60	Москва, Головинский, Авангардная улица, 12
61	Москва, Головинский, Авиационная улица, 67, к. 1
62	Москва, Головинский, Онежская улица, 9/4, к. А
63	Москва, Головинский, Онежская улица, 13
64	Москва, Гольяново, Уральская улица, 5-А
65	Москва, Гольяново, Уральская улица, 17
66	Москва, Гольяново, Хабаровская улица, 9
67	Москва, Гольяново, Чусовская улица, 2
68	Москва, Даниловский, Автозаводская улица, 4
69	Москва, Даниловский, Автозаводская улица, 5
70	Москва, Даниловский, Мытная улица, 52
71	Москва, Даниловский, Серпуховский Вал улица, 17
72	Москва, Даниловский, Симоновский Вал улица, 26, к. 3
73	Москва, Даниловский, Шаболовка улица, 63, к. 1
74	Москва, Десёновское, Ватутинки деревня, вл. 1
75	Москва, Дмитровский, Дмитровское шоссе, 151, к. 5
76	Москва, Дмитровский, Клязьминская улица, 32
77	Москва, Донской, Загородное шоссе, 7, к. 1
78	Москва, Дорогомилово, Большая Дорогомиловская улица, 10
79	Москва, Дорогомилово, Победы площадь, 2, к. 2
80	Москва, Замоскворечье, Валовая улица, 21, к. 125
81	Москва, Замоскворечье, Кожевническая улица, 7
82	Москва, Замоскворечье, Новокузнецкая улица, 13, стр. 1
83	Москва, Замоскворечье, Павла Андреева улица, 4
84	Москва, Замоскворечье, Щипок улица, 2
85	Москва, Западное Дегунино, Ивана Сусанина улица, 2, к. 1
86	Москва, Западное Дегунино, Коровинское шоссе, 5, к. 1
87	Москва, Зюзино, Азовская улица, 18
88	Москва, Зюзино, Азовская улица, 21
89	Москва, Зюзино, Балаклавский проспект, 54
90	Москва, Зюзино, Каховка улица, 19, стр. 1
91	Москва, Зюзино, Симферопольский бульвар, 4
92	Москва, Зюзино, Чонгарский бульвар, 24
93	Москва, Зябликово, Ореховый бульвар, 61, к. 2
94	Москва, Ивановское, Большой Купавенский проезд, 4, стр. 1
95	Москва, Ивановское, Купавенский проезд, 5, стр. 3
96	Москва, Ивановское, Молостовых улица, 14, к. 1
97	Москва, Ивановское, Молостовых улица, 19, к. 1
98	Москва, Ивановское, Саянская улица, 4-Б
99	Москва, Ивановское, Саянская улица, 10-А
100	Москва, Измайлово, Верхняя Первомайская улица, 29
101	Москва, Измайлово, Первомайская улица, 5
102	Москва, Измайлово, Первомайская улица, 44/20
103	Москва, Измайлово, Прядильная 3-я улица, 1
104	Москва, Капотня, Капотня 4-й квартал, 3
105	Москва, Капотня, Капотня 5-й квартал, 11, стр. 2
106	Москва, Коньково, Бутлерова улица, 24-В
107	Москва, Коньково, Островитянова улица, 11, к. 1
108	Москва, Коньково, Профсоюзная улица, 88/20
109	Москва, Коньково, Профсоюзная улица, 98, к. 1
110	Москва, Коптево, Большая Академическая улица, 24, к. 1
111	Москва, Коптево, Большая Академическая улица, 35, стр. 1
112	Москва, Коптево, Большая Академическая улица, 73, к. 1
113	Москва, Коптево, Генерала Рычагова улица, 14
114	Москва, Коптево, Коптевская улица, 16, к. 2
115	Москва, Коптево, Михалковская улица, 13
116	Москва, Коптево, Михалковский 3-й переулок, 15
117	Москва, Коптево, Новопетровская улица, 14
118	Москва, Косино-Ухтомский, Лухмановская улица, 2
119	Москва, Косино-Ухтомский, Лухмановская улица, 3
120	Москва, Котловка, Винокурова улица, 22
